"salesorderkey","orderdate","customerkey","customerfirstname","customerlastname","customeraddress","customercity","cusotmerstate","customerzipcode","customercountry","socialmedia","totalsale","currencykey"
"1168387200000-234308450","2007-01-10T22:25:00Z","1265241600000-59","Ariana","Cervantes","Ap #153-947 Sodales. St.","Newark","DE","57153","USA","Maai10Amador","6423.21","1"
"1385510400000-40568744","2013-11-27T17:40:00Z","1130284800000-510","Bree","Love","864-5803 Sed Ave","Billings","MT","16317","USA","DCF318","5022.81","1"
"1292889600000-220159347","2010-12-21T09:41:00Z","1155859200000-235","Mark","Mckinney","P.O. Box 828 8939 Nibh Ave","Wilmington","DE","52847","USA","mickiseklund","4216.59","1"
"1220227200000-190601808","2008-09-01T02:23:00Z","1220832000000-130","Halla","Valentine","Ap #320-2929 Ornare St.","Jefferson City","MO","24115","USA","ateist_hatun","6594.67","1"
"1415836800000-174813357","2014-11-13T05:03:00Z","1299110400000-485","Kristen","Stanton","3975 Tincidunt Rd.","Sioux City","IA","18034","USA","sirtheboss","6283.2","1"
"1220227200000-6629006","2008-09-01T09:32:00Z","1118016000000-291","Samuel","Herman","P.O. Box 543 5383 Mattis Av.","Hillsboro","OR","37514","USA","EViLeleven13","4172.74","1"
"1246320000000-222521104","2009-06-30T21:43:00Z","1228608000000-669","Scarlett","Page","4242 Fermentum Road","Naperville","IL","86523","USA","DunyaninAptali","7331.05","1"
"1372032000000-190971774","2013-06-24T07:36:00Z","1363478400000-434","Eliana","Barrett","9021 Lobortis Av.","Augusta","GA","32540","USA","lbuenocarvalho","5277.55","1"
"1226016000000-225279027","2008-11-07T01:48:00Z","1358812800000-551","Gabriel","Whitfield","P.O. Box 943 7739 Mi Avenue","Bridgeport","CT","59531","USA","Sherif_NM955","5268.48","1"
"1132790400000-175265248","2005-11-24T17:53:00Z","1123200000000-359","Ryder","Chen","9718 A Rd.","Gillette","WY","76915","USA","poopispoop911","7620.43","1"
"1262649600000-255279193","2010-01-05T10:30:00Z","1228867200000-93","Cruz","Craig","Ap #560-6556 Torquent Avenue","Southaven","MS","51967","USA","EarthAmtP","5357.43","1"
"1184889600000-235461374","2007-07-20T12:40:00Z","1110067200000-624","Kieran","Owen","P.O. Box 195 5384 Fringilla Rd.","Billings","MT","16257","USA","biatchdu01","7439.84","1"
"1160352000000-17489774","2006-10-09T19:16:00Z","1241827200000-318","Channing","Case","628-401 Risus Rd.","Springfield","MO","39392","USA","EricaEricsson2","6171.71","1"
"1159747200000-227802724","2006-10-02T05:06:00Z","1321660800000-446","Evangeline","Chandler","4499 Duis Rd.","Laramie","WY","79848","USA","October_14th","5408.59","1"
"1217462400000-151056428","2008-07-31T23:02:00Z","1126137600000-280","Buffy","Johnson","6033 Elit Av.","Auburn","ME","53911","USA","Anbashe","5787.24","1"
"1292889600000-3597051","2010-12-21T21:20:00Z","1254009600000-415","Claudia","Chavez","306-4560 Purus St.","Billings","MT","55340","USA","s_m_delaney","6304.38","1"
"1342137600000-166152940","2012-07-13T23:08:00Z","1252886400000-172","Constance","Moore","P.O. Box 713 3629 Sociis Road","Montgomery","AL","36446","USA","fuggsandfoach","4606.98","1"
"1127779200000-175054038","2005-09-27T06:22:00Z","1202169600000-2","Jade","Mullen","492-6467 Turpis St.","New Haven","CT","27306","USA","blackwolf0223","3133.85","1"
"1186790400000-88324602","2007-08-11T18:07:00Z","1127174400000-678","Lacy","Wilkins","7132 Libero. St.","Rochester","MN","93835","USA","sinanizmir","6935.51","1"
"1376179200000-253671047","2013-08-11T10:09:00Z","1122681600000-345","Brooke","Long","Ap #592-6296 Porta Street","Lansing","MI","50775","USA","hilalimtrak","3637.39","1"
"1390521600000-89433163","2014-01-24T15:06:00Z","1309824000000-11","Tanner","Palmer","P.O. Box 170 235 Phasellus St.","Milwaukee","WI","51926","USA","DangDatTan","3707.35","1"
"1331596800000-145860682","2012-03-13T22:05:00Z","1143072000000-13","Maia","Stokes","P.O. Box 738 5082 Euismod St.","Lowell","MA","52089","USA","celldealz","8921.1","1"
"1393891200000-134533970","2014-03-04T18:17:00Z","1318896000000-461","Ocean","Bender","157 Amber Beacon Jnc","Binghamton","NY","13902","USA","warlick","5964.81","1"
"1112227200000-103780668","2005-03-31T09:25:00Z","1287273600000-237","Darius","Mccoy","P.O. Box 972 6595 Id St.","Saint Louis","MO","15274","USA","tackhej","3595.55","1"
"1318032000000-147416070","2011-10-08T18:57:00Z","1115942400000-435","Tasha","Tate","Ap #764-329 Non Rd.","Bowling Green","KY","36830","USA","AndGodDead","6259.8","1"
"1211760000000-74172735","2008-05-26T06:55:00Z","1193616000000-429","Nero","Gutierrez","Ap #797-3163 Magna. Rd.","Springdale","AR","72630","USA","mylhaneg","6969.93","1"
"1238803200000-119930399","2009-04-04T05:59:00Z","1350086400000-60","Orli","Roy","6948 Cras Avenue","Springfield","MO","98707","USA","MartinBosaz","5145.64","1"
"1150416000000-220703528","2006-06-16T08:30:00Z","1121472000000-381","Kato","Owens","6948 Cras Avenue","Springfield","MO","98707","USA","MartinBosaz","7393.36","1"
